ClinicalDocumentArchitecture : Validation Results
=========================================

err = 3, warn = 9, info = 2
IG Publisher Version: 1.6.1
Generated Tue Mar 12 18:29:33 CET 2024. FHIR version 5.0.0 for hl7.cda.uv.core#2.0.0-sd-202312-matchbox-patch (canonical = http://hl7.org/cda/stds/core)
 Build Errors : 0 / 9 / 0
 /Users/oegger/Documents/github/CDA-core-sd/input/examples/clinicaldocument-example : 3 / 1 / 17
 /Users/oegger/Documents/github/CDA-core-sd/input/hl7.cda.uv.core : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AD : 0 / 108 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/ADXP : 0 / 2 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/ANY : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/Act : 0 / 1 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AlternateIdentification : 0 / 2 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AssignedAuthor : 0 / 3 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AssignedCustodian : 0 / 3 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AssignedEntity : 0 / 3 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AssociatedEntity : 0 / 1 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/Authenticator : 0 / 3 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/Author : 0 / 5 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/AuthoringDevice : 0 / 5 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/Authorization : 0 / 3 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/BL : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/Birthplace : 0 / 3 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/CD : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/CE : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/CO : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/CR : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/CS : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/CV : 0 / 0 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/ClinicalDocument : 0 / 8 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/Component : 0 / 5 / 1
 /Users/oegger/Documents/github/CDA-core-sd/input/resources/ComponentOf : 0 / 3 / 1
